time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1973-10-10T00:53:43.040Z,47.611,-122.3341667,-0.646,2.5,md,9,87,0.08235,0.18,uw,uw10857468,2016-07-25T00:06:46.660Z,"0 km NNW of Seattle, Washington",earthquake,0.028,0.06,0.06,10,reviewed,uw,uw
1973-10-08T05:34:20.440Z,47.6196667,-122.2651667,4.204,2.8,md,11,95,,0.24,uw,uw10857428,2016-07-25T00:06:40.640Z,"2 km W of Medina, Washington",earthquake,0.933,6.98,0.06,11,reviewed,uw,uw
1973-10-07T23:34:43.270Z,47.6201667,-122.2611667,-0.646,2.5,md,9,96,0.06736,0.25,uw,uw10857403,2016-07-25T00:06:37.450Z,"2 km W of Medina, Washington",earthquake,0.078,0.15,0.11,9,reviewed,uw,uw
1973-10-07T16:36:02.630Z,47.6131667,-122.3406667,-0.666,2.8,md,12,87,,0.27,uw,uw10857393,2016-07-25T00:06:35.650Z,"1 km NW of Seattle, Washington",earthquake,0.05,0.09,0.07,12,reviewed,uw,uw
1973-10-07T13:53:10.900Z,47.6095,-122.3255,1.954,3.3,md,10,88,0.07717,0.16,uw,uw10857373,2016-07-25T00:06:32.890Z,"Puget Sound region, Washington",earthquake,0.744,1.01,0.07,11,reviewed,uw,uw
1973-09-26T21:07:09.710Z,47.615,-122.3333333,-0.536,2.8,md,9,88,0.08481,0.22,uw,uw10857208,2016-07-25T00:06:05.910Z,"0 km N of Seattle, Washington",earthquake,0.799,1.32,0.07,8,reviewed,uw,uw
1972-11-14T18:26:24.710Z,47.7531667,-122.249,18.407,3.3,md,10,108,0.1998,0.09,uw,uw10854788,2016-07-24T23:57:50.060Z,"0 km SW of Kenmore, Washington",earthquake,0.342,0.75,0.06,3,reviewed,uw,uw
1972-10-13T08:00:53.730Z,47.5936667,-122.2868333,4.597,2.5,md,7,90,0.04835,0.09,uw,uw10854433,2016-07-24T23:57:00.150Z,"3 km ESE of Seattle, Washington",earthquake,0.354,0.68,0.09,5,reviewed,uw,uw
1972-04-29T11:42:31.230Z,47.6268333,-122.4326667,23.334,3,md,8,80,,0.11,uw,uw10853053,2016-07-24T23:53:56.160Z,"6 km E of Bainbridge Island, Washington",earthquake,0.389,0.93,0.07,5,reviewed,uw,uw
1972-03-02T22:36:24.250Z,47.7573333,-122.3905,18.497,2.5,md,7,92,0.2258,0.06,uw,uw10852763,2016-07-24T23:53:17.090Z,"3 km W of Shoreline, Washington",earthquake,0.248,0.61,0.06,6,reviewed,uw,uw
1972-03-02T20:12:13.760Z,47.7586667,-122.3876667,18.477,2.5,md,7,92,0.2262,0.14,uw,uw10852758,2016-07-24T23:53:16.540Z,"3 km W of Shoreline, Washington",earthquake,0.694,1.02,0.06,5,reviewed,uw,uw
1960-04-11T06:47:35.000Z,47.567,-122.25,,3.6,md,,,,,ushis,ushis2441,2018-06-04T20:43:45.000Z,"2 km W of Mercer Island, Washington",earthquake,,,,,reviewed,ushis,yel
