Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Pioneer Square/Chinatown International District,700 S Dearborn St,Seattle,WA,98134,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.32349 47.59582)
High Risk,Pioneer Square/Chinatown International District,124 S Washington St,Seattle,WA,98104,1900,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.33315 47.60089)
Medium Risk,Pioneer Square/Chinatown International District,507 12th Ave S,Seattle,WA,98144,1931,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.31723 47.59799)
Medium Risk,Pioneer Square/Chinatown International District,1041 S King St,Seattle,WA,98104,1911,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31779 47.59834)
Medium Risk,Pioneer Square/Chinatown International District,303 12th Ave S,Seattle,WA,98144,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.3172 47.59977)
Medium Risk,Pioneer Square/Chinatown International District,1019 S Jackson St,Seattle,WA,98104,1932,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,POINT (-122.31901 47.59899)
Medium Risk,Pioneer Square/Chinatown International District,1043 S Jackson St,Seattle,WA,98104,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.31777 47.59872)
Medium Risk,Queen Anne,7 Harrison St,Seattle,WA,98109,1908,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.35649 47.62208)
Medium Risk,Queen Anne,14 Boston St,Seattle,WA,98109,1922,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.35612 47.63841)
Medium Risk,Queen Anne,15 Nickerson St,Seattle,WA,98109,1919,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.35687 47.64908)
Medium Risk,Queen Anne,25 W Roy St,Seattle,WA,98119,1914,5,No visible retrofit,Residential,101+,Google Street View,POINT (-122.35764 47.62568)
Critical Risk,Queen Anne,101 W Lee St,Seattle,WA,98119,1922,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.35839 47.6313)
Medium Risk,Queen Anne,107 1st Ave N,Seattle,WA,98109,1908,4,No visible retrofit,Residential,101+,Photos from Previous Surveys,POINT (-122.35544 47.61887)
Medium Risk,Queen Anne,109 John St,Seattle,WA,98109,1922,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35487 47.61946)
Medium Risk,Queen Anne,115 W Olympic Pl,Seattle,WA,98119,1909,4,Visible retrofit,Residential,101+,Google Street View,POINT (-122.35877 47.62668)
Medium Risk,Queen Anne,117 John St,Seattle,WA,98109,1907,2,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.35472 47.61942)
Medium Risk,Queen Anne,119 W Roy St,Seattle,WA,98119,1924,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.3589 47.62568)
Medium Risk,Queen Anne,123 John St,Seattle,WA,98109,1907,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35445 47.61975)
Medium Risk,Queen Anne,124 Warren Ave N,Seattle,WA,98109,1930,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35416 47.61924)
Medium Risk,Queen Anne,125 Warren Ave N,Seattle,WA,98109,1907,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35416 47.61938)
High Risk,Queen Anne,129 1st Ave N,Seattle,WA,98109,1926,1,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys,POINT (-122.35568 47.61957)
Medium Risk,Queen Anne,232 1st Ave N,Seattle,WA,98109,1923,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.35544 47.62077)
Medium Risk,Queen Anne,406 W Garfield St,Seattle,WA,98119,1913,2,Visible retrofit,Government,11-100,Google Street View,POINT (-122.36273 47.63352)
Critical Risk,Queen Anne,411 Boston St,Seattle,WA,98109,1922,1,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.34897 47.63823)
Medium Risk,Queen Anne,421 W Roy St,Seattle,WA,98119,1930,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.36297 47.62583)
High Risk,Queen Anne,509 Queen Anne Ave N,Seattle,WA,98109,1926,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.35671 47.62352)
Medium Risk,Queen Anne,513 Queen Anne Ave N,Seattle,WA,98109,1926,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35671 47.62378)
Medium Risk,Queen Anne,522 Queen Anne Ave N,Seattle,WA,98109,1930,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.35634 47.62381)
Medium Risk,Queen Anne,526 Queen Anne Ave N,Seattle,WA,98109,1923,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35671 47.62413)
Medium Risk,Queen Anne,530 Queen Anne Ave N,Seattle,WA,98109,1929,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys,POINT (-122.35671 47.62429)
Medium Risk,Queen Anne,600 Queen Anne Ave N,Seattle,WA,98109,1918,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.35671 47.625)
High Risk,Queen Anne,602 Valley St,Seattle,WA,98109,1928,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.34449 47.62659)
Medium Risk,Queen Anne,706 Taylor Ave N,Seattle,WA,98109,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34628 47.62572)
Medium Risk,Queen Anne,710 Taylor Ave N,Seattle,WA,98109,1920,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.34628 47.62581)
Medium Risk,Queen Anne,721 9th Ave N,Seattle,WA,98109,1922,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.33976 47.62595)
Medium Risk,Queen Anne,731 Westlake Ave N,Seattle,WA,98109,1921,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.3392 47.62654)
Medium Risk,Queen Anne,823 5th Ave N,Seattle,WA,98109,1900,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34754 47.62703)
Medium Risk,Queen Anne,900 Broad St,Seattle,WA,98109,1941,1,No visible retrofit,Commercial,11-100,Google Street View,
Medium Risk,Queen Anne,1401 5th Ave W,Seattle,WA,98119,1895,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.36422 47.63183)
Medium Risk,Queen Anne,1529 4th Ave W,Seattle,WA,98119,1921,3,Substantial Alteration,Industrial,11-100,Google Street View,POINT (-122.36239 47.63329)
Medium Risk,Queen Anne,1530 Queen Anne Ave N,Seattle,WA,98109,1920,3,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.357 47.63327)
Medium Risk,Queen Anne,1530 Westlake Ave N,Seattle,WA,98109,1923,2,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.34031 47.63343)
High Risk,Queen Anne,1608 4th Ave W,Seattle,WA,98119,1905,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.36238 47.63393)
Medium Risk,Queen Anne,1735 Westlake Ave N,Seattle,WA,98109,1934,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.34078 47.63487)
Medium Risk,Queen Anne,1820 Queen Anne Ave N,Seattle,WA,98109,1927,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.35697 47.63544)
Medium Risk,Queen Anne,1829 10th Ave W,Seattle,WA,98119,1928,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.37037 47.63559)
Medium Risk,Queen Anne,2128 Queen Anne Ave N,Seattle,WA,98109,1933,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.35674 47.63795)
Medium Risk,Queen Anne,2201 Queen Anne Ave N,Seattle,WA,98109,1911,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35695 47.63852)
Medium Risk,Queen Anne,2215 Queen Anne Ave N,Seattle,WA,98109,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.35694 47.63891)
Critical Risk,Queen Anne,2919 1st Ave W,Seattle,WA,98119,1914,1,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.35853 47.64611)
Critical Risk,Queen Anne,3307 3rd Ave W,Seattle,WA,98119,1891,4,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.36172 47.64929)
Medium Risk,Queen Anne,100 W Highland Dr,Seattle,WA,98119,1921,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.35817 47.62954)
High Risk,Queen Anne,1309 Dexter Ave N,Seattle,WA,98109,1927,4,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.34232 47.63082)
Medium Risk,Queen Anne,1821 10th Ave W,Seattle,WA,98119,1929,1,Visible retrofit,Office,11-100,Google Street View-Rosettes,POINT (-122.37037 47.63542)
Medium Risk,Queen Anne,209 W Olympic Pl,Seattle,WA,98119,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.3597 47.62672)
High Risk,Queen Anne,2125 Queen Anne Ave N,Seattle,WA,98109,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.35695 47.63789)
Medium Risk,Queen Anne,2129 Queen Anne Ave N,Seattle,WA,98109,1910,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.35695 47.63797)
Medium Risk,Queen Anne,2205 Queen Anne Ave N,Seattle,WA,98109,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.35741 47.63867)
Medium Risk,Queen Anne,2553 Westlake Ave N,Seattle,WA,98109,1925,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.34448 47.64359)
Medium Risk,Queen Anne,2555 Westlake Ave N,Seattle,WA,98109,1926,2,Substantial Alteration,Other Mixed Uses,11-100,Google Street View,POINT (-122.34462 47.64374)
Medium Risk,Queen Anne,319 Nickerson St,Seattle,WA,98109,1918,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35062 47.64653)
Medium Risk,Queen Anne,621 W McGraw St,Seattle,WA,98119,1926,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.3661 47.63958)
Medium Risk,Queen Anne,707 Westlake Ave N,Seattle,WA,98109,1914,2,No visible retrofit,Commercial,101+,,POINT (-122.33892 47.62615)
Medium Risk,Queen Anne,2135 Queen Anne Ave N,Seattle,WA,98109,1947,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.35695 47.6382)
High Risk,Queen Anne,2555 8th Ave W,Seattle,WA,98119,1926,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.36747 47.64236)
High Risk,Queen Anne,1428 Queen Anne Ave N,Seattle,WA,98109,1930,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.35665 47.63211)
Medium Risk,Queen Anne,900 Queen Anne Ave N,Seattle,WA,98109,1929,5,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.35648 47.62763)
Medium Risk,Queen Anne,307 Nickerson St,Seattle,WA,98109,1922,2,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.35126 47.64625)
Medium Risk,Queen Anne,303 Nickerson St,Seattle,WA,98109,1920,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps,POINT (-122.351 47.64671)
Medium Risk,Queen Anne,405 Prospect St,Seattle,WA,98109,1930,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.34856 47.62891)
Medium Risk,Queen Anne,1506 Queen Anne Ave N,Seattle,WA,98109,1924,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.357 47.63268)
Medium Risk,Queen Anne,621 W Galer St,Seattle,WA,98119,1917,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.3653 47.63236)
High Risk,Queen Anne,25 W Highland Dr,Seattle,WA,98119,1926,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.3576 47.62954)
Medium Risk,Queen Anne,1305 Queen Anne Ave N,Seattle,WA,98109,1928,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.35663 47.63068)
Critical Risk,Queen Anne,3307 3rd Ave W,Seattle,WA,98119,1940,2,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.36172 47.64929)
Critical Risk,Queen Anne,3 W Cremora St,Seattle,WA,98119,1925,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review,POINT (-122.35789 47.64954)
Medium Risk,Queen Anne,312 W Republican St,Seattle,WA,98119,1928,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.36117 47.62326)
Medium Risk,Queen Anne,401 Queen Anne Ave N,Seattle,WA,98109,1919,1,No visible retrofit,Office,11-100,Permit Drawing Review,POINT (-122.35718 47.6226)
High Risk,Queen Anne,601 Queen Anne Ave N,Seattle,WA,98109,1925,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.35715 47.62485)
High Risk,Queen Anne,100 W Roy St,Seattle,WA,98119,1912,3,Visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.35835 47.62568)
Medium Risk,Queen Anne,822 Queen Anne Ave N,Seattle,WA,98109,1915,4,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.35672 47.62692)
Medium Risk,Queen Anne,916 Queen Anne Ave N,Seattle,WA,98109,1909,5,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.3567 47.62778)
Medium Risk,Queen Anne,371 Ward St,Seattle,WA,98109,1912,1,No visible retrofit,Government,1-10,Sandborn Insurance Maps,POINT (-122.34909 47.62775)
Medium Risk,Queen Anne,201 Galer St,Seattle,WA,98109,1908,4,Permitted Retrofit,Residential,101+,Permit Drawing Review,POINT (-122.35211 47.63231)
Critical Risk,Rainier Beach,4525 S Cloverdale St,Seattle,WA,98118,1924,2,Permitted Retrofit,Schools,101+,Photos (Rosettes) from Previous Surveys,POINT (-122.27503 47.52534)
Critical Risk,Rainier Beach,9709 60th Ave S,Seattle,WA,98118,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.25865 47.51502)
Medium Risk,Rainier Beach,9220 Renton Ave S,Seattle,WA,98118,1926,2,No visible retrofit,Other Mixed Uses,11-100,Permit Drawing Review,POINT (-122.27271 47.52026)
Medium Risk,Ravenna/Bryant,2611 NE 55th St,Seattle,WA,98105,1923,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.29885 47.66852)
Medium Risk,Ravenna/Bryant,2725 NE 55th St,Seattle,WA,98105,1926,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.29773 47.66852)
Medium Risk,Ravenna/Bryant,2814 NE 55th St,Seattle,WA,98105,1925,1,No visible retrofit,Residential,1-10,Google Street View,POINT (-122.29655 47.66851)
Medium Risk,Ravenna/Bryant,2818 NE 55th St,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.29639 47.66878)
Medium Risk,Ravenna/Bryant,2906 NE 55th St,Seattle,WA,98105,1930,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.29574 47.66851)
Medium Risk,Ravenna/Bryant,6545 Ravenna Ave NE,Seattle,WA,98115,1911,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.30466 47.67727)
Medium Risk,Ravenna/Bryant,7200 12th Ave NE,Seattle,WA,98115,1930,1,No visible retrofit,Government,1-10,Photos from Previous Surveys,POINT (-122.31537 47.68153)
Medium Risk,Ravenna/Bryant,8000 Lake City Way NE,Seattle,WA,98115,1941,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.31278 47.68684)
Medium Risk,Ravenna/Bryant,8014 15th Ave NE,Seattle,WA,98115,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.31197 47.68725)
Critical Risk,Ravenna/Bryant,6220 32nd Ave NE,Seattle,WA,98115,1949,1,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.29284 47.67509)
Medium Risk,Ravenna/Bryant,3412 NE 65th St,Seattle,WA,98115,1945,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records,POINT (-122.29098 47.67597)
High Risk,Ravenna/Bryant,6215 33rd Ave NE,Seattle,WA,98115,1930,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.29213 47.67456)
High Risk,Ravenna/Bryant,8208 18th Ave NE,Seattle,WA,98115,1946,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.3085 47.68882)
Medium Risk,Ravenna/Bryant,5520 Ravenna Ave NE,Seattle,WA,98105,0,1,No visible retrofit,Government,1-10,,POINT (-122.30389 47.66888)
Medium Risk,Ravenna/Bryant,2111 NE 47th St,Seattle,WA,98105,1921,3,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.30494 47.66306)
High Risk,Ravenna/Bryant,5801 Sand Point Way NE,Seattle,WA,98105,0,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.26976 47.67088)
Medium Risk,Ravenna/Bryant,4600 22nd Ave NE,Seattle,WA,98105,1927,3,No visible retrofit,Residential,11-100,White Card Permit Records,POINT (-122.30426 47.66221)
Critical Risk,Roxhill/Westwood,7740 34th Ave SW,Seattle,WA,98126,1926,2,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.37465 47.53285)
Medium Risk,Roxhill/Westwood,9229 16th Ave SW,Seattle,WA,98106,0,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.35512 47.52011)
Medium Risk,Roxhill/Westwood,9434 Delridge Way SW,Seattle,WA,98106,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.35588 47.51815)
Medium Risk,Roxhill/Westwood,9643 20th Ave SW,Seattle,WA,98106,1949,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35919 47.51637)
Medium Risk,Seward Park,7621 Rainier Ave S,Seattle,WA,98118,1920,1,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.27034 47.53377)
High Risk,Seward Park,6701 51st Ave S,Seattle,WA,98118,1927,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.26989 47.54164)
High Risk,Seward Park,5900 Lake Washington Blvd S,Seattle,WA,98118,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.25587 47.54898)
Critical Risk,Seward Park,5902 Lake Washington Blvd S,Seattle,WA,98118,1927,2,Permitted Retrofit,Schools,11-100,Permit Drawing Review,POINT (-122.25735 47.54903)
Medium Risk,South Beacon Hill/New Holly,7762 Beacon Ave S,Seattle,WA,98118,1935,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.28867 47.53261)
Medium Risk,South Park,8201 10th Ave S,Seattle,WA,98108,1919,1,Permitted Retrofit,Government,101+,Google Street View,POINT (-122.32025 47.5296)
Medium Risk,South Park,8601 8th Ave S,Seattle,WA,98108,1905,2,No visible retrofit,Commercial/Residential,1-10,Google Street View,POINT (-122.32294 47.52632)
Critical Risk,South Park,723 S Concord St,Seattle,WA,98108,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.32469 47.52391)
Medium Risk,South Park,8520 14th Ave S,Seattle,WA,98108,1936,1,No visible retrofit,Commercial,1-10,Sandborn Insurance Maps,POINT (-122.31489 47.52675)
Medium Risk,Sunset Hill/Loyal Heights,2406 NW 54th St,Seattle,WA,98107,1930,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.38831 47.66807)
High Risk,Sunset Hill/Loyal Heights,3014 NW 67th St,Seattle,WA,98117,1907,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.39634 47.67733)
Medium Risk,Sunset Hill/Loyal Heights,8498 Seaview Pl NW,Seattle,WA,98117,1930,1,Permitted Retrofit,Public Assembly,11-100,Field Visit,POINT (-122.40186 47.68984)
Medium Risk,Sunset Hill/Loyal Heights,5903 24th Ave NW,Seattle,WA,98107,1913,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.38758 47.67187)
Medium Risk,Sunset Hill/Loyal Heights,6301 24th Ave NW,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.38759 47.67474)
Medium Risk,Sunset Hill/Loyal Heights,5300 26th Ave NW,Seattle,WA,98107,1910,1,No visible retrofit,Industrial,1-10,Field Visit,POINT (-122.38982 47.66782)
Medium Risk,Univ Dist,1115 NE 43rd St,Seattle,WA,98105,1929,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31592 47.65982)
Medium Risk,Univ Dist,1119 NE 43rd St,Seattle,WA,98105,1929,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.3157 47.65982)
Medium Risk,Univ Dist,1304 NE 42nd St,Seattle,WA,98105,1924,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.314 47.65833)
Medium Risk,Univ Dist,4557 University Way NE,Seattle,WA,98105,1919,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31308 47.66294)
Critical Risk,Univ Dist,1417 NE 42nd St,Seattle,WA,98105,1922,3,No visible retrofit,Schools,101+,Google Street View,POINT (-122.31264 47.65808)
Critical Risk,Univ Dist,2103 NE Skagit Ln,Seattle,WA,98195,1896,4,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.30516 47.65768)
Critical Risk,Univ Dist,4045 University Way NE,Seattle,WA,98105,1931,1,Substantial Alteration,Schools,101+,University of Washington Facilities List,POINT (-122.31323 47.65667)
Medium Risk,Univ Dist,4105 Brooklyn Ave NE,Seattle,WA,98105,1927,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31439 47.65704)
Critical Risk,Univ Dist,4105 Memorial Way NE,Seattle,WA,98195,1902,4,Permitted Retrofit,Schools,101+,University of Washington Daily--Online,POINT (-122.30969 47.65738)
Medium Risk,Univ Dist,4133 University Way NE,Seattle,WA,98105,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.3132 47.65783)
Medium Risk,Univ Dist,4134 11th Ave NE,Seattle,WA,98105,1926,1,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.31667 47.65794)
Medium Risk,Univ Dist,4145 University Way NE,Seattle,WA,98105,1927,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.31319 47.65817)
Critical Risk,Univ Dist,4182 E Stevens Way NE,Seattle,WA,98195,1896,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.30478 47.65695)
Medium Risk,Univ Dist,4200 University Way NE,Seattle,WA,98105,1916,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31319 47.65852)
Medium Risk,Univ Dist,4203 Brooklyn Ave NE,Seattle,WA,98105,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31439 47.65852)
Medium Risk,Univ Dist,4209 University Way NE,Seattle,WA,98105,1923,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31366 47.65854)
Medium Risk,Univ Dist,4214 Roosevelt Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.3174 47.65859)
Critical Risk,Univ Dist,4216 Memorial Way NE,Seattle,WA,98195,1895,3,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.30966 47.659)
Medium Risk,Univ Dist,4216 University Way NE,Seattle,WA,98105,1914,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31318 47.65889)
Medium Risk,Univ Dist,4235 Brooklyn Ave NE,Seattle,WA,98105,1928,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.3144 47.65939)
Medium Risk,Univ Dist,4235 University Way NE,Seattle,WA,98105,1922,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.3134 47.65909)
Medium Risk,Univ Dist,4306 University Way NE,Seattle,WA,98105,1923,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31317 47.66003)
Medium Risk,Univ Dist,4315 University Way NE,Seattle,WA,98105,1900,3,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.31375 47.66033)
Medium Risk,Univ Dist,4321 University Way NE,Seattle,WA,98105,1919,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31374 47.66048)
High Risk,Univ Dist,4329 University Way NE,Seattle,WA,98105,1921,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31374 47.6607)
Medium Risk,Univ Dist,4346 University Way NE,Seattle,WA,98105,1909,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31312 47.66107)
Medium Risk,Univ Dist,4522 Brooklyn Ave NE,Seattle,WA,98105,1925,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.31392 47.66218)
Medium Risk,Univ Dist,4523 University Way NE,Seattle,WA,98105,1924,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31309 47.66195)
Medium Risk,Univ Dist,4530 University Way NE,Seattle,WA,98105,1926,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31309 47.66221)
High Risk,Univ Dist,4554 12th Ave NE,Seattle,WA,98105,1938,3,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31525 47.66295)
Medium Risk,Univ Dist,4555 15th Ave NE,Seattle,WA,98105,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31229 47.66274)
Medium Risk,Univ Dist,4710 University Way NE,Seattle,WA,98105,1923,7,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31308 47.66321)
High Risk,Univ Dist,4743 University Way NE,Seattle,WA,98105,1930,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.31353 47.66445)
High Risk,Univ Dist,4759 15th Ave NE,Seattle,WA,98105,1927,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31193 47.66471)
Medium Risk,Univ Dist,5003 15th Ave NE,Seattle,WA,98105,1926,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31193 47.66508)
Critical Risk,Univ Dist,5601 University Way NE,Seattle,WA,98105,1925,1,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.31304 47.66965)
Medium Risk,Univ Dist,5810 Cowen Pl NE,Seattle,WA,98105,1928,4,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.31254 47.6716)
Medium Risk,Univ Dist,4000 University Way NE,Seattle,WA,98105,1908,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31327 47.65545)
Medium Risk,Univ Dist,1915 NE Chelan Ln,Seattle,WA,98105,1947,3,No visible retrofit,Public Assembly,11-100,University of Washington Facilities List,POINT (-122.30671 47.65863)
Medium Risk,Univ Dist,4137 University Way NE,Seattle,WA,98105,1908,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.3132 47.65796)
Medium Risk,Univ Dist,4217 University Way NE,Seattle,WA,98105,1941,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31363 47.65909)
Medium Risk,Univ Dist,4247 University Way NE,Seattle,WA,98105,1921,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31317 47.65959)
Medium Risk,Univ Dist,4325 University Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31374 47.66061)
Medium Risk,Univ Dist,4336 University Way NE,Seattle,WA,98105,1900,3,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31258 47.6608)
Medium Risk,Univ Dist,4338 University Way NE,Seattle,WA,98105,1909,3,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31257 47.66091)
